Tm,Cm,Sm,hop,latency,label
0,1,0.01,6,7.340350348755386,0
0,3,0.01,6,12.478491727629265,0
0,3,0.01,3,14.394996855241143,0
0,2,0.01,4,22.58979549189978,0
0,3,0.01,4,16.752785545085484,0
0,2,0.01,3,20.92888431555067,0
0,2,0.01,2,16.744424835572786,0
0,1,0.01,2,32.53523581549673,0
3,2,0.01,2,20.591947082357507,0
0,1,0.01,4,30.414365842472655,0
0,2,0.01,3,22.68633409927115,0
0,1,0.01,5,35.97624555398431,0
0,1,0.01,7,40.69650247801229,0
0,3,0.01,5,35.477084027969056,0
0,2,0.01,7,59.97648683492591,0
0,3,0.01,7,54.39750279109309,0
0,3,0.01,2,58.026958385008214,0
0,3,0.01,2,64.05052027481509,0
0,3,0.01,2,54.352880064014045,0
0,3,0.01,1,54.245966938862125,0
0,3,0.01,2,57.569578525648694,0
0,3,0.01,5,72.42170035258599,0
0,3,0.01,1,78.41439919500837,0
0,3,0.01,3,56.76263712650842,0
39,3,0.01,3,63.31697211990729,0
0,3,0.01,7,61.97696837571905,0
0,3,0.01,1,52.41550804258256,0
0,3,0.01,1,62.004357529606125,0
0,3,0.01,7,76.48290268337098,0
57,3,0.01,3,77.83606896590462,0
0,2,0.01,1,141.15628761242615,0
53,3,0.01,4,62.957402730846155,0
0,3,0.01,6,58.10578838085331,0
0,3,0.01,7,64.7986669610973,0
0,3,0.01,7,68.74170223718195,0
30,2,0.01,7,104.68284997739167,0
0,3,0.01,4,58.39561949894849,0
0,3,0.01,2,45.54178016390375,0
0,2,0.01,2,123.7141620716178,0
0,2,0.01,6,200.0473564034417,0
0,3,0.01,4,48.69307422835067,0
42,2,0.01,7,211.99523385559775,0
146,3,0.01,5,164.0566555858161,0
0,3,0.01,2,47.81572002711596,0
16,2,0.01,4,74.63688326490558,0
0,3,0.01,7,53.128969679108195,0
0,3,0.01,3,56.801664920845724,0
79,2,0.02,7,159.97857041909873,0
0,2,0.01,1,175.7400879912633,0
57,3,0.02,3,63.13497817637267,0
0,2,0.01,6,258.836946073437,0
203,3,0.02,1,211.14495796297228,0
0,3,0.01,2,52.90152267802364,0
96,2,0.02,1,136.6435309593649,0
13,2,0.01,2,204.80477379156838,0
0,2,0.01,4,145.74187050497363,0
120,3,0.02,3,128.4948257857434,0
24,3,0.02,1,52.995742144681515,0
0,3,0.01,3,49.170506091829964,0
0,2,0.01,2,198.16366883587858,0
60,3,0.02,7,71.55263337769674,0
0,2,0.01,1,64.67828692574227,0
0,2,0.01,7,65.04510057362802,0
40,3,0.02,4,53.95352999608639,0
48,3,0.01,5,59.49433323080592,0
0,2,0.01,3,100.11870794853462,0
0,2,0.01,6,362.4498654327454,0
41,2,0.01,3,228.26802617124986,0
29,3,0.03,1,45.4250049731163,0
0,2,0.01,4,151.06777470948424,0
125,3,0.01,7,142.1130490896187,0
35,2,0.02,5,61.67557715011003,0
0,2,0.01,6,304.02822667656284,0
89,3,0.02,5,101.47265475152716,0
0,3,0.01,7,63.61875617595513,0
19,2,0.02,2,75.96235739708555,0
73,3,0.02,4,84.94750692224147,0
34,2,0.02,1,325.6137275486127,0
0,2,0.01,3,393.74956936667024,0
10,3,0.01,2,47.11470500310577,0
49,2,0.02,4,107.80713396260182,0
95,2,0.01,4,358.72736951427794,0
70,2,0.01,6,81.37502565320153,0
10,3,0.01,7,56.79506552150497,0
0,2,0.01,4,491.72893076533467,0
214,3,0.02,2,225.36182701977623,0
0,2,0.01,6,178.50413994017526,0
111,3,0.02,3,121.37935761083577,0
296,2,0.02,2,361.48538904300847,0
108,3,0.02,1,114.91109947388645,0
49,2,0.01,6,148.90407051003024,0
81,2,0.03,5,93.23187154814138,0
10,3,0.01,4,51.854168190517385,0
13,3,0.01,6,51.85143265666704,0
0,2,0.01,2,203.66681006419776,0
67,2,0.01,5,162.7290740510283,0
28,2,0.01,7,274.4416505849383,0
16,3,0.01,5,59.5847372697732,0
116,2,0.01,4,142.0268527862819,0
182,2,0.01,7,227.43090314329368,0
0,2,0.01,5,283.21722557332305,0
29,2,0.01,3,116.15495682091534,0
0,1,0.01,3,470.9823755207467,0
404,2,0.1,4,413.06743093261116,0
22,1,0.02,1,396.75096691935823,0
388,3,0.11,3,394.30560228148397,0
2,2,0.01,1,49.2159715968495,0
0,3,0.01,6,41.02281312284401,0
26,1,0.02,4,489.72106156162283,0
461,3,0.11,2,472.50932033093466,0
421,2,0.1,7,435.4425092985472,0
0,1,0.01,6,608.1756930764296,0
586,2,0.11,3,596.8884277260704,0
385,1,0.09,4,446.13537550656224,0
327,1,0.1,1,382.77275847768783,0
349,3,0.09,7,359.0092673489546,0
0,1,0.01,1,634.42638952249,0
258,1,0.09,6,303.4714144877363,0
283,3,0.09,4,294.9683857538813,0
332,1,0.1,3,373.042269565521,0
348,2,0.09,2,357.9230748580528,0
339,3,0.08,7,349.16124139863064,0
321,3,0.07,7,336.86787110407533,0
261,3,0.08,3,272.4047856042148,0
0,3,0.01,7,76.7257935863031,0
267,2,0.07,1,286.52558745731085,0
176,3,0.06,5,182.19151908462447,0
146,3,0.05,2,154.9622569564441,0
121,2,0.04,2,129.12629177644612,0
0,1,0.01,6,583.4710540568151,0
517,2,0.1,2,525.4464899018717,0
0,1,0.01,3,660.3382547925238,0
433,1,0.09,2,546.1025437422655,0
475,2,0.11,5,482.2511202918637,0
392,2,0.1,2,400.8462895780318,0
0,3,0.01,1,44.23203142382022,0
582,1,0.12,6,608.0650926818973,0
0,1,0.01,2,806.8556061602717,0
581,1,0.09,5,706.3534787416924,0
697,3,0.1,6,709.6483678767329,0
642,2,0.09,1,651.6810529873123,0
772,1,0.1,2,793.7765355245829,0
578,1,0.11,7,623.7801618182253,0
595,2,0.1,2,613.6713694711408,0
